ὁ 	Art. NSM
Master Verb Chart:|Perfect Mid/Pass	λε PfP - - 2A λέλυμαι
Master Verb Chart:|Aorist Passive	ε AP θη - 2A ἐλύθην
Master Verb Chart:|2nd Aorist Passive	ε AP η - 2A ἐγράφην
Master Verb Chart:|Future Passive	- AP θησ ο/ε 1P λυθήσομαι
Master Verb Chart:|2nd Future Passive	- AP ησ ο/ε 1P γραφήσομαι
Signs of Future Tense	σ tense formative;|liquid εσ contracts | with PA ending + circumflex
Signs of Aorist Tense	σα tense formative;|Liquid α|Passive: θη / η|(2nd Aor = Impf w/ Aor stem)
Signs of Perfect Tense	reduplication|Pf Active = κα t.f.|2nd Pf A = α tense formative
All / every|paradigm	πᾶς πᾶσα πᾶν, παντός πάσησ παντός|παντί πάσῃ παντί, πάντα πᾶσαν πᾶν|πάντες πᾶσαι πάντα, πάντων πασῶν πάντων|πᾶσι πάσαις πᾶσι, πάντασ πάσας πάντα
I carry, bear|word & three stems	φέρω|*φερ  *οι  *ενεχ
Negate verbs vs. participles	verbs: οὐ|participles: μή
Pres. Act. Part. εἰμί	ὢν  οὖσα  ὄν|ὄντος  οὔσης  ὄντος|ὄντι  οὔσῃ  ὄντι|ὄντα  οὖσαν  ὄν|----|ὄντες  οὖσαι  ὄντα|ὄντων  οὐσῶν  ὄντων|oὖσι(ν)  οὔσαις  οὖσι(ν)|ὄντας  οὔσας  ὄντα
PA Participle | six forms	ων  ουσα  ον|οντος  οουσης  οντος
PM/P Participle | six forms	ομενος  ομενη  ομενον|ομενου  ομενησ  ομενου
AA Participle | six forms	σας  σασα  σαν|σαντος  σασης  σαντος
AM Participle | six forms	σαμενος  σαμενη  σαμενον|σαμενου  σαμενης  σαμενου
AP Participle | six forms	θεις  θεισα  θεν|θεντος  θεισης  θεντος
2AA Participle | six forms	ων  ουσα  ον|οντος  ουσης  οντος
2AM Participle | six forms	ομενος  ομενη  ομενον|ομενου  ομενης  ομενου
2AP Participle | six forms	εις  εισα  εν|εντος  εισης  εντος
How to differentiate|adverbial|vs. adjectival|participles?	All adverbial participles |are anarthrous.| |Adjectival participles |are usually articular.
PfA Participle | six forms	κως  κυια  κος|κοτος  κυιας  κοτος
PfM/P Participle | six forms	μενος  μενη  μενον|μενου  μενης  μενου
Genitive Absolute	Participial phrase,|in genitive,|that stands apart|from the sentence.
Periphrastic construction	εἰμί + present participle
PAI εἰμί	εἰμί  εἶ  ἐστί(ν)|ἐσμέν  ἐστέ  εἰσἰ(ν)
3 signs of subjunctive	1. ἵνα or ἔαν clause - or any ἄν|2. lengthened connecting vowel (ω/η)|3. Unaugmented in aorist; uses μή
ὀυ μή + subjunctive	Emphatic NO
Present Infinitive|Endings	ειν  εσθαι  εσθαι
Aorist Infinitive|Endings	σαι  σασθαι  θηναι
2nd Aorist Infinitive|Endings	ειν  εσθαι  ηναι
Perfect Infinitive|Endings	κεναι  σθαι  σθαι
P Infinitive εἰμί	εἴναι
διὰ τὸ (inf.)	because he...
εἰς τὸ (inf.)	in order that he...
ἐν τὸ (inf.)	when he...
μετὰ τὸ (inf.)	after he...
πρὸ τὸ (inf.)	before he...
πρὸς τὸ (inf.)	in order that he...
Pres. Inf. λύω (A/M/P)	λύειν  λύεσθαι  λύεσθαι
Aor. Inf. λύω (A/M/P)	λῦσαι  λὐσασθαι  λυθῆναι
Pf. Inf. λύω (A/M/P)	λελυκἐναι  λελύσθαι  λελύσθαι
Active, Aorist Passive Imperative Endings	?  τω  τε  τωσαν
Middle, Middle/Passive Imperative Endings	?  σθω  σθε  σθωσαν
PAImpv 2S λύω	λῦε
PM/PImpv 2S λύω	λύου
AAImpv 2S λύω	λῦσον
AMImpv 2S λύω	λῦσαι
APImpv 2S λύω	λύθητι
2AAImpv 2S λείπω	λίπε
2AMImpv 2S λείπω	λιποῦ
2APImpv 2S γράφω	γράφητι
μι-verb Rules #1 (redup)	Present stem reduplicates first letter with ι
μι-verb Rules #2 (c.v.)	No connecting vowel in Indicative
μι-verb Rules #3 (endings)	PAI endings: -μι  -ς  -σι  -μεν  -τε  -ασι
μι-verb Rules #4 (vowels)	Stem vowels ablaut
μι-verb Rules #5 (t.f.)	Aorist tense formative = -κα
Conjugate PAI δίδωμι	δίδωμι  δίδως  δίδωσι(ν)  |δίδομεν  δίδοτε  διδόασι(ν)
Conjugate ImpfAI δίδωμι	ἐδίδουν  ἐδίδους  ἐδίδοu  |ἐδίδομεν  ἐδίδοτε  ἐδίδοσαν
Conjugate FAI δίδωμι	δώσω  δώσεις  δώσει  |δώσομεν  δώσετε  δώσουσι(ν)
Conjugate AAI δίδωμι	ἔδωκα  ἔδωκας  ἔδωκε(ν)  |ἐδώκαμεν  ἐδώκατε  ἔδωκαν
Conjugate PfAI δίδωμι	δέδωκα  δέδωκας  δέδωκε(ν)  |δεδώκαμεν  δεδώκατε  δέδωκαν
