ὁ 	Art. NSM
ἡ 	Art. NSF
τό 	Art. N/ASN
τοῦ 	Art. GSM/N
τῆς 	Art. GSF
τῷ 	Art. DSM/N
τῇ 	Art. DSF
τόν 	Art. ASM
τήν 	Art. ASF
οἱ 	Art. NPM
αἱ 	Art. NPF
τά 	Art. N/APN
τῶν 	Art. GPM/F/N
τοῖς 	Art. DPM/N
ταῖς 	Art. DPF
τούς 	Art. APM
τάς 	Art. APF
Nouns ντ + σ	ντ + σ → σ
Nouns ending in -ς	Spread:| NSM(1&3) | GSF | APF
Nouns with no ending	1st/2nd: NSF |3rd: NSF/N ASN
Nouns ending in -υ	GSM/N
Nouns ending in -ος	GSM/F/N
Nouns ending in -ι	All Dative Singular|+ NPM/F
Nouns ending in -ν	Spread: NSN|ASM/F/N
Nouns ending in -α	Spread: N/APN|Sometimes ASM/F (3rd)
Nouns ending in -ες	NPM/F
Nouns ending in -ων	GPM/F/N
Nouns ending in -ις	DPM/F/N
Nouns ending in -σι	DPM/F/N
Nouns ending in -υς	APM
Nouns ending in -ας	APM/F
Noun Rule #1 (declensions)	Declensions: |1st=-α -η |2nd=-ο |3rd=consonant
Noun Rule #2 (neuter)	Neuter Nominative = Accusative
Noun Rule #3 |(neuter plural)	Almost all NPN APN = -α
Noun Rule #4 (DS)	In the Dative Singular, |the ι subscripts if possible.
Noun Rule #5 (vowels)	Vowels often ablaut.
Noun Rule #6 (GD MN)	In the Genitive and Dative, | Masculine = Neuter
Noun Rule #7 (Square of Stops)	Labials: π  β  φ + σ → ψ|Velars: κ  γ  χ  + σ → ξ|Dentals:  τ  δ  θ  + σ → σ
Noun Rule #8 (τ)	-τ cannot stand
οὗτος|function and paradigm	  demonstrative pronoun: "this"|οὗτος  αὗτη τοῦτο|τούτου ταύτης τούτου|τούτῳ ταύτῃ τούτῳ
ἐκεῖνος|function and paradigm	  demonstrative pronoun: "that"|ἐκεῖνος ἐκείνη ἐκεῖνο|ἐκείνου ἐκείνης ἐκείνου
ὃς|function and paradigm	  relative pronoun: "who/which/that"|ὃς ἣ ὃ|οὗ ἧς οὗ
Present (Primary) Active|paradigm & true endings	λύω, λύεις, λύει|λύομεν, λύετε, λύουσι(ν)| (-, -ς, -ι|-μεν, -τε, -νσι)
Contract Rule #1 (οε)	  οε / εο / οο → ου
Contract Rule #2 (εε)	  εε → ει
Contract Rule #3 (ο/ω)	  _ + ο/ω → ω
Contract Rule #4 (αε)	  α + ε → α
Contract Rule #5 (εα)	  ε + α → η
Contract Rule #6 (οει)	  οει → οι
Contract Rule #7 (Diph)	  Diphthongs:|a. Match? Simplify!|b. No match? contract,|drop υ| subscript ι
Contract Rule #8 (endings)	  Contracts use endings from PAI form
Meaning, paradigm οἶδα	  I know, understand|οἶδα, οἶδας, οἶδε(ν)|οἲδαμεν, οἲδατε, οἲδασιν
Present (Primary) Passive|paradigm & true endings	λύομαι, λύῃ, λύεται|λυόμεθα, λύεσθε, λύονται| (μαι, σαι, ται,|μεθα, σθε, νται)
Deponent Verb	 M/P in form|active in meaning|(lexical form is M/P: -ομαι)
Master Verb Chart:|Present Active	  - P - ο/ε PA λύω
Master Verb Chart:|Present Middle/Passive	- P - ο/ε PP λύομαι
Master Verb Chart:|Future Active	  - FA σ ο/ε PA λύσω
Master Verb Chart:|Future Middle	  - FA σ ο/ε PP λύσομαι
Future εἰμί 	  Middle Form|ἒσομαι, ἒσῃ, ἒσται|ἐσόμεθα, ἒσεσθε, ἒσονται
Def. Contract Vowel	Stem ending with α, ε, ο
Contract vowel before|tense formative	 lengthens|α/ε → η|ο → ω|always gets accent!
Connecting Vowel|in Indicative Voice	 ο for endings μ- / ν-|ε for anything else
Liquid Verbs	 Stem ends in:|-λ, -μ, -ν, -ρ
Intervocalic σ	 σ standing between two vowels|often drops out|e.g., fut. tense form. for liquid vbs
ἔρχομαι	  Pres: *ερχ|Impf: *ελεσθ| I come, go
ἐλεύσομαι	 Impf: I was going|Pres: *ερχ|Impf: *ελεσθ
λέγω	  I say|Pres: *λεγ|Impf: *ερ
ἐρῶ	  Impf: I was saying|Pres: *λεγ|Impf: *ερ
ὁράω	  I see|Pres: *ορα|Impf: *οπ
ὄψομαι	  Impf: I was seeing|Pres: *ορα|Impf: *οπ
Master Verb Chart:|Liquid Future Active	  - FA εσ ο/ε PA κρινῶ
Master Verb Chart:|Liquid Future Middle	  - FA εσ ο/ε PP κρινοῦμαι
Imperfect (Secondary) Active|paradigm & true endings  	ἔλυον, ἔλυες, ἔλυε|ἐλύομεν, ἐλύετε, ἔλυον|(ν, ς, -, μεν, τε, ν)
Imperfect (Secondary) Passive|paradigm & true endings  	ἐλυόμην, ἐλύου,ἐλύετο|ἐλυόμεθα, ἐλύεσθε, ἐλύοντο|(μην, σο, το, μεθα, σθε, ντο)
Impferfect εἰμί	I was|ἤμην, ἦς, ἦν|ἦμεν, ἦτε, ἦσαν
Master Verb Chart:|Imperfect Active	  ε P - ο/ε PA ἔλυον
Master Verb Chart:|Imperfect Middle/Passive	ε P - ο/ε PP ἐλυόμην
Master Verb Chart:|Aorist Active	ε AA σα - 2A ἔλuσα
Master Verb Chart:|Aorist Middle	ε AA σα - 2P ἐλυσάμην
Master Verb Chart:|Liquid Aorist Active	ε AA α - 2A ἔκρινα
Master Verb Chart:|2nd Aorist Active	ε AA - ο/ε 2A ἔλιπον
Master Verb Chart:|2nd Aorist Middle	ε AA - ο/ε 2P ἐλιπόμην
Master Verb Chart:|Perfect Active	λε PfA κα - 1A λέλυκα
Master Verb Chart:|2nd Perfect Active	λε PfA α - 1A γέγονα
